Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
LightGBM,0.345,0.3242903211098412,0.345,0.32651761213465347,0
XGBoost,0.3,0.2868543743078627,0.3,0.288897333590707,0
RandomForest,0.365,0.28357345740324463,0.365,0.3182684016498055,0
Ensemble,0.345,0.32602295545819643,0.345,0.32642950191570885,0
Tuned_RandomForest,0.335,0.29101424876787196,0.335,0.3056070270270271,0
